"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MAX"
"1","28","28","28","0.6787960529327393","0.6787960529327393","0.6787960529327393","16","16","16","0.26789581775665283","0.26789581775665283","0.26789581775665283"
"2","57","57","57","0.6484564542770386","0.6484564542770386","0.6484564542770386","33","33","33","0.2678985297679901","0.2678985297679901","0.2678985297679901"
"3","86","86","86","0.7553850412368774","0.7553850412368774","0.7553850412368774","50","50","50","0.19758285582065582","0.19758285582065582","0.19758285582065582"
"4","115","115","115","0.6940841674804688","0.6940841674804688","0.6940841674804688","67","67","67","0.24146312475204468","0.24146312475204468","0.24146312475204468"
"5","144","144","144","0.6243658065795898","0.6243658065795898","0.6243658065795898","84","84","84","0.27013421058654785","0.27013421058654785","0.27013421058654785"
"6","173","173","173","0.7916010618209839","0.7916010618209839","0.7916010618209839","101","101","101","0.17063915729522705","0.17063915729522705","0.17063915729522705"
"7","202","202","202","0.7093921899795532","0.7093921899795532","0.7093921899795532","118","118","118","0.25278446078300476","0.25278446078300476","0.25278446078300476"
"8","231","231","231","0.6546355485916138","0.6546355485916138","0.6546355485916138","135","135","135","0.2068939507007599","0.2068939507007599","0.2068939507007599"
"9","260","260","260","0.72475665807724","0.72475665807724","0.72475665807724","152","152","152","0.2590247392654419","0.2590247392654419","0.2590247392654419"
"10","289","289","289","0.745284378528595","0.745284378528595","0.745284378528595","169","169","169","0.2218952476978302","0.2218952476978302","0.2218952476978302"
"11","318","318","318","0.6392512321472168","0.6392512321472168","0.6392512321472168","186","186","186","0.1949801743030548","0.1949801743030548","0.1949801743030548"
"12","347","347","347","0.7091088891029358","0.7091088891029358","0.7091088891029358","203","203","203","0.21411120891571045","0.21411120891571045","0.21411120891571045"
"13","376","376","376","0.7242833375930786","0.7242833375930786","0.7242833375930786","220","220","220","0.2843098044395447","0.2843098044395447","0.2843098044395447"
"14","405","405","405","0.8217350244522095","0.8217350244522095","0.8217350244522095","237","237","237","0.1805931031703949","0.1805931031703949","0.1805931031703949"
"15","434","434","434","0.80670166015625","0.80670166015625","0.80670166015625","254","254","254","0.21690690517425537","0.21690690517425537","0.21690690517425537"
"16","463","463","463","0.7090588212013245","0.7090588212013245","0.7090588212013245","271","271","271","0.31567490100860596","0.31567490100860596","0.31567490100860596"
"17","492","492","492","0.6744356751441956","0.6744356751441956","0.6744356751441956","288","288","288","0.28680479526519775","0.28680479526519775","0.28680479526519775"
"18","521","521","521","0.7611977458000183","0.7611977458000183","0.7611977458000183","305","305","305","0.3786012828350067","0.3786012828350067","0.3786012828350067"
"19","550","550","550","0.7091031670570374","0.7091031670570374","0.7091031670570374","322","322","322","0.3210313320159912","0.3210313320159912","0.3210313320159912"
"20","579","579","579","0.6998428106307983","0.6998428106307983","0.6998428106307983","339","339","339","0.3744433522224426","0.3744433522224426","0.3744433522224426"
"21","608","608","608","0.7089601755142212","0.7089601755142212","0.7089601755142212","356","356","356","0.4226437509059906","0.4226437509059906","0.4226437509059906"
"22","637","637","637","0.6940624713897705","0.6940624713897705","0.6940624713897705","373","373","373","0.30345675349235535","0.30345675349235535","0.30345675349235535"
"23","666","666","666","0.7704242467880249","0.7704242467880249","0.7704242467880249","390","390","390","0.37399715185165405","0.37399715185165405","0.37399715185165405"
"24","695","695","695","0.8157012462615967","0.8157012462615967","0.8157012462615967","407","407","407","0.4259440302848816","0.4259440302848816","0.4259440302848816"
"25","724","724","724","0.8612214922904968","0.8612214922904968","0.8612214922904968","424","424","424","0.3087823987007141","0.3087823987007141","0.3087823987007141"
"26","753","753","753","0.7854939103126526","0.7854939103126526","0.7854939103126526","441","441","441","0.4066891074180603","0.4066891074180603","0.4066891074180603"
"27","782","782","782","0.8310868740081787","0.8310868740081787","0.8310868740081787","458","458","458","0.5112695693969727","0.5112695693969727","0.5112695693969727"
"28","811","811","811","0.7852575778961182","0.7852575778961182","0.7852575778961182","475","475","475","0.3322886824607849","0.3322886824607849","0.3322886824607849"
"29","840","840","840","0.7091825604438782","0.7091825604438782","0.7091825604438782","492","492","492","0.3585083484649658","0.3585083484649658","0.3585083484649658"
