"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756158958 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1755898769 - train/reward__MAX"
"1","28","28","28","0.6093363165855408","0.6093363165855408","0.6093363165855408","16","16","16","0.6123477220535278","0.6123477220535278","0.6123477220535278"
"2","57","57","57","0.7163646221160889","0.7163646221160889","0.7163646221160889","33","33","33","0.782249927520752","0.782249927520752","0.782249927520752"
"3","86","86","86","0.7422140836715698","0.7422140836715698","0.7422140836715698","50","50","50","0.7047439813613892","0.7047439813613892","0.7047439813613892"
"4","115","115","115","0.7149352431297302","0.7149352431297302","0.7149352431297302","67","67","67","0.7362713813781738","0.7362713813781738","0.7362713813781738"
"5","144","144","144","0.747449517250061","0.747449517250061","0.747449517250061","84","84","84","0.795095682144165","0.795095682144165","0.795095682144165"
"6","173","173","173","0.7640918493270874","0.7640918493270874","0.7640918493270874","101","101","101","0.7362136840820312","0.7362136840820312","0.7362136840820312"
"7","202","202","202","0.7187670469284058","0.7187670469284058","0.7187670469284058","118","118","118","0.6491124629974365","0.6491124629974365","0.6491124629974365"
"8","231","231","231","0.6710457801818848","0.6710457801818848","0.6710457801818848","135","135","135","0.647453248500824","0.647453248500824","0.647453248500824"
"9","260","260","260","0.6592236757278442","0.6592236757278442","0.6592236757278442","152","152","152","0.674005925655365","0.674005925655365","0.674005925655365"
"10","289","289","289","0.705513596534729","0.705513596534729","0.705513596534729","169","169","169","0.7365895509719849","0.7365895509719849","0.7365895509719849"
"11","318","318","318","0.564278244972229","0.564278244972229","0.564278244972229","186","186","186","0.7780505418777466","0.7780505418777466","0.7780505418777466"
"12","347","347","347","0.7220410704612732","0.7220410704612732","0.7220410704612732","203","203","203","0.767498791217804","0.767498791217804","0.767498791217804"
"13","376","376","376","0.7650116682052612","0.7650116682052612","0.7650116682052612","220","220","220","0.7050541639328003","0.7050541639328003","0.7050541639328003"
"14","405","405","405","0.6221528649330139","0.6221528649330139","0.6221528649330139","237","237","237","0.7362654805183411","0.7362654805183411","0.7362654805183411"
"15","434","434","434","0.7703312635421753","0.7703312635421753","0.7703312635421753","254","254","254","0.7205331325531006","0.7205331325531006","0.7205331325531006"
"16","463","463","463","0.736329972743988","0.736329972743988","0.736329972743988","271","271","271","0.844657838344574","0.844657838344574","0.844657838344574"
"17","492","492","492","0.7332832217216492","0.7332832217216492","0.7332832217216492","288","288","288","0.747322678565979","0.747322678565979","0.747322678565979"
"18","521","521","521","0.6742844581604004","0.6742844581604004","0.6742844581604004","305","305","305","0.7664394974708557","0.7664394974708557","0.7664394974708557"
"19","550","550","550","0.7697489261627197","0.7697489261627197","0.7697489261627197","322","322","322","0.7979655861854553","0.7979655861854553","0.7979655861854553"
"20","579","579","579","0.741004228591919","0.741004228591919","0.741004228591919","339","339","339","0.7795513868331909","0.7795513868331909","0.7795513868331909"
"21","608","608","608","0.7751599550247192","0.7751599550247192","0.7751599550247192","356","356","356","0.8443455696105957","0.8443455696105957","0.8443455696105957"
"22","637","637","637","0.7642033100128174","0.7642033100128174","0.7642033100128174","373","373","373","0.8401318192481995","0.8401318192481995","0.8401318192481995"
