"train/global_step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756185192 - train/reward__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756184995 - train/reward__MAX"
"1","4266.5","16","8517","0.38030990958213806","0.38030990958213806","0.38030990958213806","28","28","28","0.7458820343017578","0.7458820343017578","0.7458820343017578"
"2","4283.5","33","8534","0.3695787787437439","0.3695787787437439","0.3695787787437439","57","57","57","0.7375555038452148","0.7375555038452148","0.7375555038452148"
"3","4300.5","50","8551","0.41121941804885864","0.41008949279785156","0.4123493432998657","86","86","86","0.7419835329055786","0.7419835329055786","0.7419835329055786"
"4","4317.5","67","8568","0.33318160474300385","0.319733202457428","0.3466300070285797","115","115","115","0.6992138624191284","0.6992138624191284","0.6992138624191284"
"5","4334.5","84","8585","0.3713371157646179","0.36524444818496704","0.3774297833442688","144","144","144","0.7056653499603271","0.7056653499603271","0.7056653499603271"
"6","4351.5","101","8602","0.32549014687538147","0.31968966126441956","0.3312906324863434","173","173","173","0.790352463722229","0.790352463722229","0.790352463722229"
"7","4368.5","118","8619","0.33391083776950836","0.3275317847728729","0.3402898907661438","202","202","202","0.771223783493042","0.771223783493042","0.771223783493042"
"8","4385.5","135","8636","0.3879072368144989","0.38336968421936035","0.39244478940963745","231","231","231","0.782535970211029","0.782535970211029","0.782535970211029"
"9","4402.5","152","8653","0.4392756223678589","0.4374377727508545","0.4411134719848633","260","260","260","0.6942790746688843","0.6942790746688843","0.6942790746688843"
"10","4419.5","169","8670","0.38794592022895813","0.3864392042160034","0.38945263624191284","289","289","289","0.6899921894073486","0.6899921894073486","0.6899921894073486"
"11","4436.5","186","8687","0.4242202043533325","0.41505783796310425","0.4333825707435608","318","318","318","0.7151375412940979","0.7151375412940979","0.7151375412940979"
"12","4453.5","203","8704","0.35407358407974243","0.34545862674713135","0.3626885414123535","347","347","347","0.7676993608474731","0.7676993608474731","0.7676993608474731"
"13","4470.5","220","8721","0.30726298689842224","0.2995392680168152","0.3149867057800293","376","376","376","0.7428703308105469","0.7428703308105469","0.7428703308105469"
"14","4487.5","237","8738","0.3425373286008835","0.3278084993362427","0.3572661578655243","405","405","405","0.8243834376335144","0.8243834376335144","0.8243834376335144"
"15","4504.5","254","8755","0.26933375000953674","0.26391279697418213","0.27475470304489136","434","434","434","0.7603479623794556","0.7603479623794556","0.7603479623794556"
"16","4521.5","271","8772","0.42969071865081787","0.4278280735015869","0.43155336380004883","463","463","463","0.6916884779930115","0.6916884779930115","0.6916884779930115"
"17","4538.5","288","8789","0.4093697816133499","0.4084603190422058","0.410279244184494","492","492","492","0.8141081929206848","0.8141081929206848","0.8141081929206848"
"18","4555.5","305","8806","0.517804354429245","0.5114572644233704","0.5241514444351196","521","521","521","0.7904022932052612","0.7904022932052612","0.7904022932052612"
"19","4572.5","322","8823","0.37227678298950195","0.3663784861564636","0.3781750798225403","550","550","550","0.7985097765922546","0.7985097765922546","0.7985097765922546"
"20","4589.5","339","8840","0.40228666365146637","0.40174537897109985","0.4028279483318329","579","579","579","0.7041046023368835","0.7041046023368835","0.7041046023368835"
"21","4606.5","356","8857","0.43663889169692993","0.41623204946517944","0.4570457339286804","608","608","608","0.7660304307937622","0.7660304307937622","0.7660304307937622"
"22","4623.5","373","8874","0.3859214782714844","0.36905986070632935","0.4027830958366394","637","637","637","0.76218181848526","0.76218181848526","0.76218181848526"
"23","4640.5","390","8891","0.40641698241233826","0.40008169412612915","0.41275227069854736","666","666","666","0.7947685122489929","0.7947685122489929","0.7947685122489929"
"24","4657.5","407","8908","0.44286321103572845","0.4405902922153473","0.4451361298561096","695","695","695","0.8324918746948242","0.8324918746948242","0.8324918746948242"
"25","4674.5","424","8925","0.4238794147968292","0.41789722442626953","0.4298616051673889","724","724","724","0.8591669201850891","0.8591669201850891","0.8591669201850891"
"26","4691.5","441","8942","0.5342186391353607","0.512907862663269","0.5555294156074524","753","753","753","0.7479962706565857","0.7479962706565857","0.7479962706565857"
"27","4708.5","458","8959","0.49416258931159973","0.49248093366622925","0.4958442449569702","782","782","782","0.8209429979324341","0.8209429979324341","0.8209429979324341"
"28","4725.5","475","8976","0.4696079045534134","0.45750150084495544","0.48171430826187134","811","811","811","0.8239243030548096","0.8239243030548096","0.8239243030548096"
"29","4742.5","492","8993","0.46078792214393616","0.45340052247047424","0.46817532181739807","840","840","840","0.7708008289337158","0.7708008289337158","0.7708008289337158"
"30","4759.5","509","9010","0.4485842287540436","0.44087380170822144","0.4562946557998657","869","869","869","0.7520304322242737","0.7520304322242737","0.7520304322242737"
"31","4776.5","526","9027","0.481745645403862","0.48051145672798157","0.48297983407974243","898","898","898","0.832487940788269","0.832487940788269","0.832487940788269"
"32","4793.5","543","9044","0.552249014377594","0.5477409958839417","0.5567570328712463","927","927","927","0.7908979058265686","0.7908979058265686","0.7908979058265686"
"33","4810.5","560","9061","0.548265814781189","0.5410255193710327","0.5555061101913452","956","956","956","0.7676606178283691","0.7676606178283691","0.7676606178283691"
"34","4827.5","577","9078","0.5519644021987915","0.5511139631271362","0.5528148412704468","985","985","985","0.8523005247116089","0.8523005247116089","0.8523005247116089"
"35","4844.5","594","9095","0.5680361390113831","0.5660799741744995","0.5699923038482666","1014","1014","1014","0.7675642967224121","0.7675642967224121","0.7675642967224121"
"36","4861.5","611","9112","0.5790635347366333","0.5648282766342163","0.5932987928390503","1043","1043","1043","0.8552654981613159","0.8552654981613159","0.8552654981613159"
"37","4878.5","628","9129","0.7005196511745453","0.6969028115272522","0.7041364908218384","1072","1072","1072","0.8416017293930054","0.8416017293930054","0.8416017293930054"
"38","4895.5","645","9146","0.6193914711475372","0.61805260181427","0.6207303404808044","1101","1101","1101","0.8691157102584839","0.8691157102584839","0.8691157102584839"
"39","4912.5","662","9163","0.727029949426651","0.7193194031715393","0.7347404956817627","1130","1130","1130","0.8749722242355347","0.8749722242355347","0.8749722242355347"
"40","4929.5","679","9180","0.698937177658081","0.6857906579971313","0.7120836973190308","1159","1159","1159","0.7827519774436951","0.7827519774436951","0.7827519774436951"
"41","4946.5","696","9197","0.6588784456253052","0.6439734697341919","0.6737834215164185","1188","1188","1188","0.849868655204773","0.849868655204773","0.849868655204773"
"42","4963.5","713","9214","0.6605216264724731","0.6569342613220215","0.6641089916229248","1217","1217","1217","0.7746002078056335","0.7746002078056335","0.7746002078056335"
"43","4980.5","730","9231","0.7213389277458191","0.6977230310440063","0.7449548244476318","1246","1246","1246","0.8558749556541443","0.8558749556541443","0.8558749556541443"
"44","4997.5","747","9248","0.7112780809402466","0.6965960264205933","0.7259601354598999","1275","1275","1275","0.8279615044593811","0.8279615044593811","0.8279615044593811"
"45","5014.5","764","9265","0.7498290538787842","0.7363966703414917","0.7632614374160767","1304","1304","1304","0.8636402487754822","0.8636402487754822","0.8636402487754822"
"46","5031.5","781","9282","0.7517513036727905","0.7234715223312378","0.7800310850143433","1333","1333","1333","0.8194743394851685","0.8194743394851685","0.8194743394851685"
"47","5048.5","798","9299","0.7989065647125244","0.7865869998931885","0.8112261295318604","1362","1362","1362","0.8610724806785583","0.8610724806785583","0.8610724806785583"
"48","5065.5","815","9316","0.8129377365112305","0.8115807175636292","0.8142947554588318","1391","1391","1391","0.8413823246955872","0.8413823246955872","0.8413823246955872"
"49","5082.5","832","9333","0.7692660391330719","0.7582074403762817","0.7803246378898621","1420","1420","1420","0.8549562096595764","0.8549562096595764","0.8549562096595764"
"50","5099.5","849","9350","0.7722011208534241","0.7525060772895813","0.7918961644172668","1449","1449","1449","0.8076468110084534","0.8076468110084534","0.8076468110084534"
"51","5116.5","866","9367","0.8197391331195831","0.8125128746032715","0.8269653916358948","1478","1478","1478","0.8760141134262085","0.8760141134262085","0.8760141134262085"
"52","5133.5","883","9384","0.7552266120910645","0.7489840984344482","0.7614691257476807","1507","1507","1507","0.8854694366455078","0.8854694366455078","0.8854694366455078"
"53","5150.5","900","9401","0.8195719122886658","0.8193531036376953","0.8197907209396362","1536","1536","1536","0.8627707362174988","0.8627707362174988","0.8627707362174988"
"54","5167.5","917","9418","0.756389856338501","0.7512643337249756","0.7615153789520264","1565","1565","1565","0.8781775832176208","0.8781775832176208","0.8781775832176208"
"55","5184.5","934","9435","0.8336602449417114","0.815239429473877","0.8520810604095459","1594","1594","1594","0.8793883323669434","0.8793883323669434","0.8793883323669434"
"56","5201.5","951","9452","0.835817277431488","0.8271785974502563","0.8444559574127197","1623","1623","1623","0.9008034467697144","0.9008034467697144","0.9008034467697144"
"57","5218.5","968","9469","0.8122692704200745","0.8104812502861023","0.8140572905540466","1652","1652","1652","0.8912597894668579","0.8912597894668579","0.8912597894668579"
"58","5235.5","985","9486","0.8422501981258392","0.820894181728363","0.8636062145233154","1681","1681","1681","0.8687236309051514","0.8687236309051514","0.8687236309051514"
"59","5252.5","1002","9503","0.8326810002326965","0.8251665830612183","0.8401954174041748","1710","1710","1710","0.8871746063232422","0.8871746063232422","0.8871746063232422"
"60","5269.5","1019","9520","0.7962581813335419","0.7896648645401001","0.8028514981269836","1739","1739","1739","0.8618168830871582","0.8618168830871582","0.8618168830871582"
"61","5286.5","1036","9537","0.7909297049045563","0.7688179016113281","0.8130415081977844","1768","1768","1768","0.865113377571106","0.865113377571106","0.865113377571106"
"62","5303.5","1053","9554","0.7579042911529541","0.7577824592590332","0.758026123046875","1797","1797","1797","0.8669812679290771","0.8669812679290771","0.8669812679290771"
"63","5320.5","1070","9571","0.8297711610794067","0.8258881568908691","0.8336541652679443","1826","1826","1826","0.8841615319252014","0.8841615319252014","0.8841615319252014"
"64","5337.5","1087","9588","0.8162272572517395","0.8144193887710571","0.8180351257324219","1855","1855","1855","0.8507765531539917","0.8507765531539917","0.8507765531539917"
"65","5354.5","1104","9605","0.8476531505584717","0.8422343730926514","0.853071928024292","1884","1884","1884","0.8803864121437073","0.8803864121437073","0.8803864121437073"
"66","5371.5","1121","9622","0.8309066891670227","0.8153795003890991","0.8464338779449463","1913","1913","1913","0.8929484486579895","0.8929484486579895","0.8929484486579895"
"67","5388.5","1138","9639","0.8584766089916229","0.8564087152481079","0.8605445027351379","1942","1942","1942","0.895393431186676","0.895393431186676","0.895393431186676"
"68","5405.5","1155","9656","0.832546591758728","0.8102593421936035","0.8548338413238525","1971","1971","1971","0.9177541732788086","0.9177541732788086","0.9177541732788086"
"69","5422.5","1172","9673","0.8554944097995758","0.8492170572280884","0.8617717623710632","2000","2000","2000","0.9045794606208801","0.9045794606208801","0.9045794606208801"
"70","5439.5","1189","9690","0.8574458956718445","0.8568625450134277","0.8580292463302612","2029","2029","2029","0.8634305596351624","0.8634305596351624","0.8634305596351624"
"71","5456.5","1206","9707","0.8766900599002838","0.8734341859817505","0.8799459338188171","2058","2058","2058","0.9260360598564148","0.9260360598564148","0.9260360598564148"
"72","5473.5","1223","9724","0.8607851564884186","0.8600857257843018","0.8614845871925354","2087","2087","2087","0.8993003368377686","0.8993003368377686","0.8993003368377686"
"73","5490.5","1240","9741","0.8343372344970703","0.8095452785491943","0.8591291904449463","2116","2116","2116","0.909300684928894","0.909300684928894","0.909300684928894"
"74","5507.5","1257","9758","0.854214996099472","0.8435750603675842","0.8648549318313599","2145","2145","2145","0.9252426028251648","0.9252426028251648","0.9252426028251648"
"75","5524.5","1274","9775","0.8435853123664856","0.8393785953521729","0.8477920293807983","2174","2174","2174","0.9149402379989624","0.9149402379989624","0.9149402379989624"
"76","5541.5","1291","9792","0.8718298673629761","0.8619076013565063","0.8817521333694458","2203","2203","2203","0.9200422763824463","0.9200422763824463","0.9200422763824463"
"77","5558.5","1308","9809","0.8710488080978394","0.8678432703018188","0.8742543458938599","2232","2232","2232","0.9378980398178101","0.9378980398178101","0.9378980398178101"
"78","5575.5","1325","9826","0.8987967669963837","0.8932496905326843","0.904343843460083","2261","2261","2261","0.9383983016014099","0.9383983016014099","0.9383983016014099"
"79","5592.5","1342","9843","0.8969416320323944","0.8840084671974182","0.9098747968673706","2290","2290","2290","0.9159182906150818","0.9159182906150818","0.9159182906150818"
"80","5609.5","1359","9860","0.8891903758049011","0.8700942993164062","0.908286452293396","2319","2319","2319","0.9108480215072632","0.9108480215072632","0.9108480215072632"
"81","5626.5","1376","9877","0.9114559292793274","0.9074441194534302","0.9154677391052246","2348","2348","2348","0.945699155330658","0.945699155330658","0.945699155330658"
"82","5643.5","1393","9894","0.9269990622997284","0.9219417572021484","0.9320563673973083","2377","2377","2377","0.9338008165359497","0.9338008165359497","0.9338008165359497"
"83","5660.5","1410","9911","0.9250752627849579","0.9134165048599243","0.9367340207099915","2406","2406","2406","0.9403090476989746","0.9403090476989746","0.9403090476989746"
"84","5677.5","1427","9928","0.9189765751361847","0.9076730608940125","0.9302800893783569","2435","2435","2435","0.9478286504745483","0.9478286504745483","0.9478286504745483"
"85","5694.5","1444","9945","0.9160320460796356","0.9136423468589783","0.918421745300293","2464","2464","2464","0.9362540245056152","0.9362540245056152","0.9362540245056152"
"86","5711.5","1461","9962","0.9336870908737183","0.9300686120986938","0.9373055696487427","2493","2493","2493","0.9497897028923035","0.9497897028923035","0.9497897028923035"
"87","5728.5","1478","9979","0.901738703250885","0.88694828748703","0.91652911901474","2522","2522","2522","0.9327679872512817","0.9327679872512817","0.9327679872512817"
"88","5745.5","1495","9996","0.9267774820327759","0.9010165929794312","0.9525383710861206","2551","2551","2551","0.9360617399215698","0.9360617399215698","0.9360617399215698"
"89","5762.5","1512","10013","0.9460295140743256","0.9448072910308838","0.9472517371177673","2580","2580","2580","0.949713945388794","0.949713945388794","0.949713945388794"
"90","5779.5","1529","10030","0.9245993494987488","0.9229601621627808","0.9262385368347168","2609","2609","2609","0.959739089012146","0.959739089012146","0.959739089012146"
"91","5796.5","1546","10047","0.9525968134403229","0.9525164365768433","0.9526771903038025","2638","2638","2638","0.9468692541122437","0.9468692541122437","0.9468692541122437"
"92","5813.5","1563","10064","0.9380621314048767","0.9288874864578247","0.9472367763519287","2667","2667","2667","0.9626351594924927","0.9626351594924927","0.9626351594924927"
"93","5830.5","1580","10081","0.9337323307991028","0.9327198266983032","0.9347448348999023","2696","2696","2696","0.9641599655151367","0.9641599655151367","0.9641599655151367"
"94","5847.5","1597","10098","0.9074382185935974","0.9034793972969055","0.9113970398902893","2725","2725","2725","0.9658293724060059","0.9658293724060059","0.9658293724060059"
"95","5864.5","1614","10115","0.9336009919643402","0.9254028797149658","0.9417991042137146","2754","2754","2754","0.9506763815879822","0.9506763815879822","0.9506763815879822"
