  0%|                                                                                | 0/50 [00:00<?, ?it/s]
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 48, Completions: 48
Computed reward for completion: 0.999588
Computed reward for completion: 0.999980
Computed reward for completion: 0.010000
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.995646
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.999600
Computed reward for completion: 0.999612
Computed reward for completion: 0.999582
Computed reward for completion: 0.999982
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999577
Computed reward for completion: 0.999980
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999980
Computed reward for completion: 0.999582
Computed reward for completion: 0.999981
Computed reward for completion: 0.995482
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.995450
Computed reward for completion: 0.579512
Computed reward for completion: 0.010000
Computed reward for completion: 0.999587
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999575
Computed reward for completion: 0.010000
Computed reward for completion: 0.995475
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999576
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
LLM-SR rewards: ['0.9996', '1.0000', '0.0100', '0.9996', '0.0100', '0.9956', '0.0100', '0.9996', '0.9996', '0.9996', '0.9996', '0.9996', '1.0000', '0.0100', '0.9996', '0.0100', '0.0100', '0.0100', '0.9996', '1.0000', '0.0100', '0.0100', '1.0000', '0.9996', '1.0000', '0.9955', '0.9996', '0.0100', '0.9955', '0.5795', '0.0100', '0.9996', '0.0100', '0.0100', '0.9996', '0.9996', '0.0100', '0.9996', '0.0100', '0.9955', '0.0100', '0.9996', '0.9996', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100']
Reward statistics - Mean: 0.6194, Std: 0.4758, Min: 0.0100, Max: 1.0000
{'loss': 0.0, 'grad_norm': 0.29575079679489136, 'learning_rate': 0.0, 'num_tokens': 36624.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.6194402575492859, 'rewards/llmsr_reward_function/std': 0.48084720969200134, 'reward': 0.6194402575492859, 'reward_std': 0.48084720969200134, 'frac_reward_zero_std': 0.0, 'kl': 0.0001464794525721421, 'clip_ratio': 0.0, 'epoch': 0.06}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 48, Completions: 48
Computed reward for completion: 0.010000
Computed reward for completion: 0.999577
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999980
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999589
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.995646
Computed reward for completion: 0.999580
Computed reward for completion: 0.999581
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.995450
Computed reward for completion: 0.999580
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999980
Computed reward for completion: 0.999971
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.999302
Computed reward for completion: 0.999577
Computed reward for completion: 0.999589
Computed reward for completion: 0.999582
Computed reward for completion: 0.999980
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999839
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.995822
Computed reward for completion: 0.999591
LLM-SR rewards: ['0.0100', '0.9996', '0.9996', '0.9996', '1.0000', '0.9996', '0.9996', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100', '0.9956', '0.9996', '0.9996', '0.9996', '0.9996', '0.9996', '0.9955', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100', '0.9996', '0.0100', '0.9996', '0.0100', '1.0000', '1.0000', '0.9996', '0.0100', '0.9996', '0.9996', '0.9993', '0.9996', '0.9996', '0.9996', '1.0000', '0.0100', '0.0100', '0.9996', '0.0100', '0.9998', '0.0100', '0.9996', '0.9958', '0.9996']
Reward statistics - Mean: 0.7520, Std: 0.4284, Min: 0.0100, Max: 1.0000
{'loss': 0.0, 'grad_norm': 0.34552201628685, 'learning_rate': 1.0000000000000001e-07, 'num_tokens': 73248.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.751972496509552, 'rewards/llmsr_reward_function/std': 0.43291231989860535, 'reward': 0.7519725561141968, 'reward_std': 0.43291231989860535, 'frac_reward_zero_std': 0.0, 'kl': 0.00015991250499306867, 'clip_ratio': 0.0, 'epoch': 0.12}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 48, Completions: 48
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999587
Computed reward for completion: 0.999582
Computed reward for completion: 0.999979
Computed reward for completion: 0.999614
Computed reward for completion: 0.010000
Computed reward for completion: 0.999617
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.975749
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999980
Computed reward for completion: 0.996103
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999068
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999585
Computed reward for completion: 0.999580
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999684
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999980
Computed reward for completion: 0.999980
Computed reward for completion: 0.999582
Computed reward for completion: 0.995923
Computed reward for completion: 0.010000
LLM-SR rewards: ['0.9996', '0.0100', '0.0100', '0.9996', '0.0100', '0.0100', '0.0100', '0.9996', '0.9996', '0.9996', '0.9996', '1.0000', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100', '0.9757', '0.9996', '0.0100', '0.9996', '0.9996', '0.9996', '1.0000', '0.9961', '0.9996', '0.0100', '0.9991', '0.0100', '0.0100', '0.0100', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100', '0.0100', '0.9997', '0.9996', '0.9996', '1.0000', '1.0000', '0.9996', '0.9959', '0.0100']
Reward statistics - Mean: 0.6485, Std: 0.4728, Min: 0.0100, Max: 1.0000
