  0%|                                                                                  | 0/500 [00:00<?, ?it/s]
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.995835
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.999615
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999982
Computed reward for completion: 0.999582
Computed reward for completion: 0.995835
Computed reward for completion: 0.999116
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999979
Computed reward for completion: 0.010000
Computed reward for completion: 0.999980
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.995456
Computed reward for completion: 0.010000
Computed reward for completion: 0.999589
Computed reward for completion: 0.995651
Computed reward for completion: 0.999582
Computed reward for completion: 0.995923
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999973
Computed reward for completion: 0.997597
Computed reward for completion: 0.999580
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999777
Computed reward for completion: 0.999582
Computed reward for completion: 0.999585
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.978866
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999980
Computed reward for completion: 0.996313
LLM-SR rewards: ['0.9958', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100', '0.9996', '0.0100', '0.9996', '0.9996', '0.9996', '0.9996', '1.0000', '0.9996', '0.9958', '0.9991', '0.9996', '0.9996', '0.0100', '0.9996', '0.9996', '0.0100', '0.0100', '1.0000', '0.0100', '1.0000', '0.0100', '0.9996', '0.0100', '0.0100', '0.9955', '0.0100', '0.9996', '0.9957', '0.9996', '0.9959', '0.0100', '0.9996', '0.0100', '0.0100', '0.0100', '0.9996', '0.0100', '0.0100', '1.0000', '0.9976', '0.9996', '0.0100', '0.0100', '0.9996', '0.0100', '0.0100', '0.9998', '0.9996', '0.9996', '0.0100', '0.9996', '0.0100', '0.9789', '0.0100', '0.9996', '0.0100', '1.0000', '0.9963']
Reward statistics - Mean: 0.6123, Std: 0.4823, Min: 0.0100, Max: 1.0000
{'loss': 0.0, 'grad_norm': 0.25338080525398254, 'learning_rate': 0.0, 'num_tokens': 48832.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.6123477220535278, 'rewards/llmsr_reward_function/std': 0.4860842227935791, 'reward': 0.6123477220535278, 'reward_std': 0.4860842227935791, 'frac_reward_zero_std': 0.0, 'kl': 0.00017991655477089807, 'clip_ratio': 0.0, 'epoch': 0.06}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.999582
Computed reward for completion: 0.999580
Computed reward for completion: 0.999980
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.997499
Computed reward for completion: 0.999581
Computed reward for completion: 0.999585
Computed reward for completion: 0.995684
Computed reward for completion: 0.999581
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999580
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.999982
Computed reward for completion: 0.999582
Computed reward for completion: 0.995739
Computed reward for completion: 0.973861
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.995646
Computed reward for completion: 0.995475
Computed reward for completion: 0.010000
Computed reward for completion: 0.999583
Computed reward for completion: 0.010000
Computed reward for completion: 0.995474
Computed reward for completion: 0.999589
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.999582
Computed reward for completion: 0.999586
Computed reward for completion: 0.999085
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999564
Computed reward for completion: 0.995835
Computed reward for completion: 0.999589
Computed reward for completion: 0.999577
Computed reward for completion: 0.999587
Computed reward for completion: 0.999582
Computed reward for completion: 0.995647
