  0%|                                                                                      | 0/500 [00:00<?, ?it/s]
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.995835
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999585
Computed reward for completion: 0.999582
Computed reward for completion: 0.817907
Computed reward for completion: 0.999981
Computed reward for completion: 0.999582
Computed reward for completion: 0.936603
Computed reward for completion: 0.995442
Computed reward for completion: 0.999582
Computed reward for completion: 0.797404
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999583
Computed reward for completion: 0.010000
Computed reward for completion: 0.996104
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999583
Computed reward for completion: 0.995646
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999981
Computed reward for completion: 0.999582
Computed reward for completion: 0.380388
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.817907
Computed reward for completion: 0.797404
Computed reward for completion: 0.403330
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999980
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999584
Computed reward for completion: 0.999979
Computed reward for completion: 0.844090
LLM-SR rewards: ['0.0100', '0.9996', '0.0100', '0.9996', '0.0100', '0.9996', '0.9996', '0.9958', '0.9996', '0.9996', '0.0100', '0.9996', '0.0100', '0.9996', '0.9996', '0.8179', '1.0000', '0.9996', '0.9366', '0.9954', '0.9996', '0.7974', '0.0100', '0.9996', '0.9996', '0.0100', '0.9961', '0.0100', '0.9996', '0.9996', '0.0100', '0.9996', '0.0100', '0.9996', '0.9956', '0.0100', '0.0100', '0.0100', '0.9996', '0.0100', '1.0000', '0.9996', '0.3804', '0.0100', '0.0100', '0.9996', '0.9996', '0.0100', '0.8179', '0.7974', '0.4033', '0.0100', '0.9996', '0.0100', '1.0000', '0.0100', '0.0100', '0.0100', '0.0100', '0.9996', '0.9996', '0.9996', '1.0000', '0.8441']
Reward statistics - Mean: 0.6093, Std: 0.4625, Min: 0.0100, Max: 1.0000
{'loss': 0.0, 'grad_norm': 0.15610156953334808, 'learning_rate': 0.0, 'num_tokens': 48832.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.6093363165855408, 'rewards/llmsr_reward_function/std': 0.4661814868450165, 'reward': 0.6093363165855408, 'reward_std': 0.4661814868450165, 'frac_reward_zero_std': 0.0, 'kl': 0.00018692932462727185, 'clip_ratio': 0.0, 'epoch': 0.12}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.995155
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.989902
Computed reward for completion: 0.999587
Computed reward for completion: 0.999582
Computed reward for completion: 0.995442
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
Computed reward for completion: 0.999583
Computed reward for completion: 0.797404
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.906184
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999580
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999583
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999582
Computed reward for completion: 0.010000
Computed reward for completion: 0.999582
Computed reward for completion: 0.999577
Computed reward for completion: 0.999999
Computed reward for completion: 0.999577
Computed reward for completion: 0.010000
