  0%|                                                      | 0/500 [00:00<?, ?it/s]
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.968656
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.789551
Computed reward for completion: 0.833989
Computed reward for completion: 0.968662
Computed reward for completion: 0.812507
Computed reward for completion: 0.848659
Computed reward for completion: 0.968592
Computed reward for completion: 0.000045
Computed reward for completion: 0.968512
Computed reward for completion: 0.999275
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.821931
Computed reward for completion: 0.010000
Computed reward for completion: 0.968574
Computed reward for completion: 0.821931
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.821931
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.000045
Computed reward for completion: 0.010000
Computed reward for completion: 0.821931
Computed reward for completion: 0.969009
Computed reward for completion: 0.970572
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.579769
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.999264
Computed reward for completion: 0.010000
Computed reward for completion: 0.968574
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.507962
Computed reward for completion: 0.968656
Computed reward for completion: 0.000045
LLM-SR rewards: ['0.0100', '0.9686', '0.0100', '0.9686', '0.0100', '0.9686', '0.9686', '0.9687', '0.9686', '0.9686', '0.0100', '0.0100', '0.0100', '0.0100', '0.9686', '0.7896', '0.8340', '0.9687', '0.8125', '0.8487', '0.9686', '0.0000', '0.9685', '0.9993', '0.0100', '0.0100', '0.9686', '0.8219', '0.0100', '0.9686', '0.8219', '0.9686', '0.0100', '0.9686', '0.9686', '0.0100', '0.0100', '0.0100', '0.8219', '0.0100', '0.9686', '0.9686', '0.0000', '0.0100', '0.8219', '0.9690', '0.9706', '0.0100', '0.9686', '0.5798', '0.9686', '0.9686', '0.9993', '0.0100', '0.9686', '0.0100', '0.0100', '0.0100', '0.0100', '0.0100', '0.9686', '0.5080', '0.9687', '0.0000']
Reward statistics - Mean: 0.5480, Std: 0.4536, Min: 0.0000, Max: 0.9993
{'loss': 0.0, 'grad_norm': 0.17229096591472626, 'learning_rate': 0.0, 'num_tokens': 50112.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.5480421185493469, 'rewards/llmsr_reward_function/std': 0.4572162926197052, 'reward': 0.5480421185493469, 'reward_std': 0.4572162628173828, 'frac_reward_zero_std': 0.0, 'kl': 0.000215616833884269, 'clip_ratio': 0.0, 'epoch': 0.12}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.969009
Computed reward for completion: 0.969009
Computed reward for completion: 0.010000
Computed reward for completion: 0.999264
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.821931
Computed reward for completion: 0.968592
Computed reward for completion: 0.968701
Computed reward for completion: 0.969000
Computed reward for completion: 0.821931
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969782
Computed reward for completion: 0.848659
Computed reward for completion: 0.969922
Computed reward for completion: 0.821931
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968656
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968574
Computed reward for completion: 0.849932
Computed reward for completion: 0.968592
Computed reward for completion: 0.000045
Computed reward for completion: 0.969295
Computed reward for completion: 0.968592
Computed reward for completion: 0.821931
Computed reward for completion: 0.482522
Computed reward for completion: 0.969345
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.970341
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.962042
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.999264
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
