  0%|                                                      | 0/500 [00:00<?, ?it/s]
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.968574
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.969009
Computed reward for completion: 0.969000
Computed reward for completion: 0.968735
Computed reward for completion: 0.968574
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.968592
Computed reward for completion: 0.971412
Computed reward for completion: 0.968438
Computed reward for completion: 0.969000
Computed reward for completion: 0.968967
Computed reward for completion: 0.967878
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968538
Computed reward for completion: 0.968689
Computed reward for completion: 0.968512
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.848761
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968401
Computed reward for completion: 0.999275
Computed reward for completion: 0.968811
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969791
Computed reward for completion: 0.999264
Computed reward for completion: 0.848659
Computed reward for completion: 0.010000
Computed reward for completion: 0.968529
Computed reward for completion: 0.969000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.847060
Computed reward for completion: 0.968624
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.969257
Computed reward for completion: 0.969000
Computed reward for completion: 0.969009
Computed reward for completion: 0.010000
Computed reward for completion: 0.968920
Computed reward for completion: 0.821931
LLM-SR rewards: ['0.9686', '0.9686', '0.0100', '0.9685', '0.0100', '0.0100', '0.9690', '0.9690', '0.9690', '0.9687', '0.9686', '0.9690', '0.9686', '0.9686', '0.9714', '0.9684', '0.9690', '0.9690', '0.9679', '0.0100', '0.0100', '0.0100', '0.0100', '0.9685', '0.9687', '0.9685', '0.9686', '0.0100', '0.0100', '0.9690', '0.8488', '0.0100', '0.0100', '0.9684', '0.9993', '0.9688', '0.0100', '0.0100', '0.9685', '0.0100', '0.0100', '0.9685', '0.9686', '0.0100', '0.0100', '0.9698', '0.9993', '0.8487', '0.0100', '0.9685', '0.9690', '0.0100', '0.9686', '0.8471', '0.9686', '0.0100', '0.0100', '0.0100', '0.9693', '0.9690', '0.9690', '0.0100', '0.9689', '0.8219']
Reward statistics - Mean: 0.6172, Std: 0.4559, Min: 0.0100, Max: 0.9993
{'loss': 0.0, 'grad_norm': 0.2868081033229828, 'learning_rate': 0.0, 'num_tokens': 50112.0, 'completions/mean_length': 512.0, 'completions/min_length': 512.0, 'completions/max_length': 512.0, 'completions/clipped_ratio': 1.0, 'completions/mean_terminated_length': 0.0, 'completions/min_terminated_length': 0.0, 'completions/max_terminated_length': 0.0, 'rewards/llmsr_reward_function/mean': 0.6172453761100769, 'rewards/llmsr_reward_function/std': 0.45948803424835205, 'reward': 0.6172453761100769, 'reward_std': 0.45948800444602966, 'frac_reward_zero_std': 0.0, 'kl': 0.00017844543617684394, 'clip_ratio': 0.0, 'epoch': 0.06}
=== LLMSR REWARD FUNCTION CALLED ===
Prompts: 64, Completions: 64
Computed reward for completion: 0.969000
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.969257
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968574
Computed reward for completion: 0.969000
Computed reward for completion: 0.969929
Computed reward for completion: 0.968592
Computed reward for completion: 0.999275
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.968592
Computed reward for completion: 0.971814
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.848761
Computed reward for completion: 0.010000
Computed reward for completion: 0.968689
Computed reward for completion: 0.968592
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.969000
Computed reward for completion: 0.968574
Computed reward for completion: 0.969009
Computed reward for completion: 0.634671
Computed reward for completion: 0.968974
Computed reward for completion: 0.010000
Computed reward for completion: 0.010000
Computed reward for completion: 0.968465
Computed reward for completion: 0.010000
Computed reward for completion: 0.968920
Computed reward for completion: 0.969000
Computed reward for completion: 0.968811
Computed reward for completion: 0.010000
Computed reward for completion: 0.969000
Computed reward for completion: 0.967878
Computed reward for completion: 0.968689
Computed reward for completion: 0.010000
Computed reward for completion: 0.850073
Computed reward for completion: 0.968512
Computed reward for completion: 0.010000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968574
Computed reward for completion: 0.010000
Computed reward for completion: 0.968401
Computed reward for completion: 0.968512
Computed reward for completion: 0.968592
Computed reward for completion: 0.968404
Computed reward for completion: 0.968598
Computed reward for completion: 0.973932
Computed reward for completion: 0.969000
Computed reward for completion: 0.968512
Computed reward for completion: 0.968512
Computed reward for completion: 0.968592
Computed reward for completion: 0.969000
Computed reward for completion: 0.970046
Computed reward for completion: 0.968592
Computed reward for completion: 0.969267
Computed reward for completion: 0.969000
Computed reward for completion: 0.968512
Computed reward for completion: 0.969161
Computed reward for completion: 0.010000
